#Date,Open,High,Low,Close,Volume,Adj Close
2015-04-28,58.96,60.14,58.76,59.48,9443500,59.48
2015-04-27,59.05,59.28,58.72,59.09,6888000,59.09
2015-04-24,59.10,59.98,58.89,59.20,8656700,59.20
2015-04-23,59.41,59.85,58.50,58.89,15693100,58.89
2015-04-22,56.38,56.95,56.22,56.75,10438000,56.75
2015-04-21,56.49,56.66,56.03,56.42,7414500,56.42
2015-04-20,55.99,56.45,55.41,56.07,8690700,56.07
2015-04-17,56.33,56.49,55.40,55.79,8899900,55.79
2015-04-16,56.99,57.39,56.66,57.04,4389800,57.04
2015-04-15,56.98,57.30,56.67,57.02,5176200,57.02
2015-04-14,56.79,57.11,56.37,56.95,5073400,56.95
2015-04-13,57.16,58.23,56.79,56.94,7020800,56.94
2015-04-10,57.42,57.69,57.06,57.34,5094400,57.34
2015-04-09,57.11,57.45,56.50,57.01,4869900,57.01
2015-04-08,57.19,57.61,56.63,57.11,6875800,57.11
2015-04-07,57.10,57.91,56.84,57.08,6840000,57.08
2015-04-06,55.50,57.16,55.45,56.82,6189500,56.82
2015-04-02,57.05,57.25,56.76,56.91,3543600,56.91
2015-04-01,57.33,57.73,56.81,57.13,4939200,57.13
2015-03-31,57.70,58.39,57.67,57.68,4857900,57.68
2015-03-30,57.75,58.40,57.74,57.93,4763100,57.93
2015-03-27,57.35,57.96,57.30,57.63,6067300,57.63
2015-03-26,57.56,58.17,57.26,57.52,6548300,57.52
2015-03-25,59.62,59.62,58.02,58.06,10582500,58.06
2015-03-24,58.33,60.03,58.31,59.51,12523300,59.51
2015-03-23,57.92,59.22,57.92,58.62,7417500,58.62
2015-03-20,58.21,58.58,57.93,57.93,21583900,57.93
2015-03-19,56.81,58.34,56.69,57.88,13573300,57.88
2015-03-18,59.36,59.36,57.68,58.43,15651900,58.43
2015-03-17,59.55,59.89,58.85,59.49,6891000,59.49
2015-03-16,59.52,59.98,59.12,59.57,6324200,59.57
2015-03-13,60.04,60.04,58.62,59.07,7867000,59.07
2015-03-12,60.06,60.15,59.09,59.41,7425100,59.41
2015-03-11,59.33,60.20,59.32,59.68,10799900,59.68
2015-03-10,60.05,60.50,59.07,59.21,15744600,59.21
2015-03-09,59.87,60.93,59.73,60.81,13773800,60.81
2015-03-06,59.10,60.47,59.02,59.87,13804800,59.87
2015-03-05,58.28,59.29,58.28,59.08,6882900,59.08
2015-03-04,57.86,58.80,57.61,58.31,5791000,58.31
2015-03-03,58.36,58.63,58.01,58.26,4903900,58.26
2015-03-02,57.55,58.66,57.55,58.38,6490800,58.38
2015-02-27,58.68,58.70,57.74,57.91,6269500,57.91
2015-02-26,58.23,58.86,58.21,58.54,5710800,58.54
2015-02-25,58.54,58.60,57.97,58.35,7677700,58.35
2015-02-24,58.07,58.54,57.87,58.40,5041800,58.40
2015-02-23,57.84,58.60,57.74,58.07,8120300,58.07
2015-02-20,57.67,58.05,57.26,58.02,7009700,58.02
2015-02-19,56.97,57.70,56.43,57.65,7792200,57.65
2015-02-18,56.39,56.99,56.31,56.90,5919500,56.90
2015-02-17,56.17,56.46,55.81,56.42,7448400,56.42
2015-02-13,55.02,56.61,55.00,56.47,10285400,56.47
2015-02-12,55.64,55.65,54.69,54.74,8954500,54.74
2015-02-11,55.42,55.45,54.65,55.14,6225400,55.14
2015-02-10,54.44,55.57,53.88,55.27,10928500,55.27
2015-02-09,54.01,54.83,54.01,54.33,4297100,54.33
2015-02-06,54.20,54.90,54.06,54.50,7952100,54.50
2015-02-05,53.85,54.51,53.71,54.29,6175000,54.29
2015-02-04,54.09,54.38,53.51,53.71,6839900,53.71
2015-02-03,53.91,54.50,53.89,54.25,7400600,54.25
2015-02-02,53.11,53.91,52.54,53.71,7796700,53.71
2015-01-30,53.85,54.06,52.96,53.00,10509300,53.00
2015-01-29,53.75,54.06,53.34,53.96,6348800,53.96
2015-01-28,55.05,55.28,53.79,53.84,8592900,53.84
2015-01-27,55.52,55.76,54.67,54.69,9527400,54.69
2015-01-26,56.37,56.93,55.83,56.06,10291000,56.06
2015-01-23,56.99,57.28,56.32,56.76,13389700,56.76
2015-01-22,55.18,57.23,54.99,57.15,29893300,57.15
2015-01-21,53.41,53.98,53.15,53.38,15990800,53.38
2015-01-20,53.90,54.07,52.92,53.68,8338900,53.68
2015-01-16,52.93,53.95,52.76,53.66,9823600,53.66
2015-01-15,54.17,54.31,52.95,53.02,11704400,53.02
2015-01-14,54.37,54.73,53.52,54.03,10080900,54.03
2015-01-13,55.82,56.40,54.92,55.13,6468400,55.13
2015-01-12,55.66,55.85,54.97,55.20,4542000,55.20
2015-01-09,56.32,56.43,55.50,55.63,7008800,55.63
2015-01-08,55.31,56.42,55.30,56.41,10238400,56.41
2015-01-07,55.18,55.48,54.44,54.93,9251500,54.93
2015-01-06,55.80,55.80,54.69,55.02,9649300,55.02
2015-01-05,55.85,56.24,55.30,55.74,7447000,55.74
2015-01-02,56.38,56.84,55.73,56.21,5901200,56.21
2014-12-31,57.06,57.25,56.08,56.12,5917700,56.12
2014-12-30,56.86,57.49,56.84,57.22,4398500,57.22
2014-12-29,57.14,57.44,56.82,57.03,3575400,57.03
2014-12-26,57.34,57.34,56.94,57.04,2858100,57.04
2014-12-24,57.43,57.46,57.09,57.10,1761400,57.10
2014-12-23,57.73,57.74,57.21,57.23,5688100,57.23
2014-12-22,57.47,57.94,57.06,57.33,13453300,57.33
2014-12-19,57.50,57.69,56.96,57.14,15784000,57.14
2014-12-18,57.01,57.53,56.88,57.53,9036600,57.53
2014-12-17,55.96,56.47,55.67,56.41,10527700,56.41
2014-12-16,55.38,56.77,55.15,55.94,15189700,55.94
2014-12-15,55.86,56.70,55.25,55.44,7465500,55.44
2014-12-12,56.17,56.78,55.76,55.77,9516000,55.77
2014-12-11,55.41,57.63,55.31,56.79,23727400,56.79
2014-12-10,55.02,55.59,54.90,55.27,16424600,55.27
2014-12-09,54.59,55.51,54.56,55.40,11047900,55.40
2014-12-08,55.35,55.64,54.76,55.15,13228500,55.15
2014-12-05,54.89,54.89,54.51,54.81,5589600,54.81
2014-12-04,54.63,54.75,54.45,54.67,5646600,54.67
2014-12-03,55.03,55.03,54.50,54.81,5386500,54.81
2014-12-02,54.86,55.40,54.55,55.02,5964300,55.02
2014-12-01,54.76,55.12,54.42,54.87,6842000,54.87
2014-11-28,54.90,55.20,54.58,54.88,2969600,54.88
2014-11-26,54.56,54.68,54.30,54.57,3989500,54.57
2014-11-25,54.23,54.69,54.23,54.40,6635400,54.40
2014-11-24,54.68,54.70,54.23,54.39,6067100,54.39
2014-11-21,54.75,54.85,54.23,54.42,8439900,54.42
2014-11-20,54.51,54.72,54.32,54.54,5554200,54.54
2014-11-19,55.33,55.33,54.26,54.94,6721400,54.94
2014-11-18,54.81,55.66,54.70,55.38,6966200,55.38
2014-11-17,54.37,55.10,54.37,54.83,7775000,54.83
2014-11-14,54.27,54.61,54.06,54.36,4971300,54.36
2014-11-13,54.06,54.62,53.93,54.37,7812900,54.37
2014-11-12,53.81,54.35,53.30,54.06,6058900,54.06
2014-11-11,54.17,54.36,53.48,54.19,7115600,54.19
2014-11-10,53.47,53.94,53.26,53.89,5283400,53.89
2014-11-07,53.35,53.73,53.11,53.52,5415100,53.52
2014-11-06,53.62,53.65,52.99,53.26,5893400,53.26
2014-11-05,53.47,53.75,53.32,53.59,10761800,53.59
2014-11-04,52.56,53.33,52.36,53.27,7727900,53.27
2014-11-03,52.32,52.95,52.29,52.70,6985900,52.70
2014-10-31,52.68,52.73,51.98,52.50,8298300,52.50
2014-10-30,51.05,52.00,50.92,51.55,6923200,51.55
2014-10-29,50.79,51.41,50.74,51.33,7322900,51.33
2014-10-28,51.35,51.35,51.00,51.20,8105500,51.20
2014-10-27,51.10,51.49,50.97,51.19,6959000,51.19
2014-10-24,50.79,51.28,50.57,51.12,6387300,51.12
2014-10-23,50.61,51.07,50.36,50.79,10796700,50.79
2014-10-22,51.20,51.61,49.97,50.13,13560000,50.13
2014-10-21,49.65,50.97,49.52,50.86,13959700,50.86
2014-10-20,48.04,49.36,47.91,49.20,12497400,49.20
2014-10-17,48.24,48.58,47.92,47.95,13942300,47.95
2014-10-16,48.49,48.69,46.34,47.88,38140800,47.88
2014-10-15,50.06,50.32,48.92,50.24,16801900,50.24
2014-10-14,50.94,51.50,50.36,50.59,12413200,50.59
2014-10-13,51.56,51.93,50.36,50.46,9653900,50.46
2014-10-10,52.80,52.84,51.83,51.86,9128700,51.86
2014-10-09,54.17,54.22,52.80,52.86,8951000,52.86
2014-10-08,53.28,54.67,53.22,54.51,15358100,54.51
2014-10-07,53.22,53.68,52.94,52.97,9623600,52.97
2014-10-06,54.48,54.55,53.48,53.55,9324900,53.55
2014-10-03,55.06,55.19,54.16,54.44,9569500,54.44
2014-10-02,55.23,55.62,54.37,54.86,12521600,54.86
2014-10-01,55.15,56.08,54.98,55.46,24292300,55.46
2014-09-30,56.62,57.30,55.95,56.63,77254500,56.63
2014-09-29,52.51,53.01,52.30,52.66,6996300,52.66
2014-09-26,52.00,53.14,51.95,52.93,7569200,52.93
2014-09-25,52.74,52.93,52.02,52.15,7517900,52.15
2014-09-24,52.80,53.19,52.63,52.93,8766100,52.93
2014-09-23,52.30,53.04,52.17,52.74,11232500,52.74
2014-09-22,52.27,52.50,51.83,52.47,9501400,52.47
2014-09-19,52.87,53.06,52.33,52.40,20415400,52.40
2014-09-18,52.00,52.73,51.77,52.70,12390200,52.70
2014-09-17,51.72,52.14,51.40,51.95,11468000,51.95
2014-09-16,50.97,51.88,50.56,51.61,13644100,51.61
2014-09-15,52.22,52.29,50.76,50.96,12764800,50.96
2014-09-12,50.60,53.07,50.04,52.19,42371100,52.19
2014-09-11,50.78,51.28,50.51,50.68,16968200,50.68
2014-09-10,51.48,51.55,50.54,51.10,31000400,51.10
2014-09-09,54.36,55.00,52.43,52.73,20227700,52.73
2014-09-08,53.78,54.28,53.47,54.23,9067200,54.23
2014-09-05,54.30,54.41,53.30,53.90,16203700,53.90
2014-09-04,54.79,55.45,53.99,54.44,13083500,54.44
2014-09-03,55.14,55.31,54.35,54.55,8117300,54.55
2014-09-02,55.48,55.59,54.69,54.88,11178500,54.88
2014-08-29,55.76,55.76,54.94,55.50,8658500,55.50
2014-08-28,55.86,55.86,55.03,55.43,9602900,55.43
2014-08-27,56.28,56.71,55.78,55.92,7576900,55.92
2014-08-26,55.50,56.50,55.41,56.25,8994500,56.25
2014-08-25,55.61,56.12,55.38,55.49,6733700,55.49
2014-08-22,55.70,55.98,55.22,55.50,11738200,55.50
2014-08-21,53.52,57.05,53.50,55.89,50434100,55.89
2014-08-20,53.51,53.67,53.28,53.40,7511600,53.40
2014-08-19,53.28,53.76,53.14,53.75,8113400,53.75
2014-08-18,53.06,53.17,52.81,53.11,8867400,53.11
2014-08-15,53.38,53.38,52.58,52.64,13588900,52.64
2014-08-14,52.88,53.16,52.81,52.93,9930900,52.93
2014-08-13,52.76,53.15,52.50,52.94,12375200,52.94
2014-08-12,53.87,53.93,53.18,53.43,7719000,53.43
2014-08-11,54.23,54.44,53.73,53.88,7929400,53.88
2014-08-08,53.58,54.17,53.15,54.09,10326800,54.09
2014-08-07,53.68,54.25,53.42,53.56,10049600,53.56
2014-08-06,52.96,53.69,52.80,53.46,10209800,53.46
2014-08-05,53.01,53.32,52.82,53.26,10997100,53.26
2014-08-04,52.41,53.13,52.24,53.06,11999300,53.06
2014-08-01,52.78,52.91,52.14,52.53,12844200,52.53
2014-07-31,52.94,53.06,52.66,52.83,11514200,52.83
2014-07-30,53.28,53.58,52.76,53.23,9101900,53.23
2014-07-29,53.10,53.38,52.75,53.21,12015300,53.21
2014-07-28,52.91,53.09,52.23,52.93,9402700,52.93
2014-07-25,52.78,53.10,52.54,52.75,11250800,52.75
2014-07-24,52.52,53.50,52.52,53.23,16257600,53.23
2014-07-23,52.00,52.72,51.87,52.66,13881000,52.66
2014-07-22,51.87,52.29,51.71,52.05,10423500,52.05
2014-07-21,51.27,51.86,51.04,51.70,9922500,51.70
2014-07-18,50.93,51.64,50.58,51.48,12948700,51.48
2014-07-17,51.10,51.84,50.83,51.03,21706700,51.03
2014-07-16,51.03,51.18,50.50,50.70,13817400,50.70
2014-07-15,51.45,51.49,50.53,50.82,9431100,50.82
2014-07-14,51.25,51.31,50.67,51.16,9402500,51.16
2014-07-11,51.00,51.83,51.00,51.50,13892900,51.50
2014-07-10,50.22,50.54,49.74,50.34,8327000,50.34
2014-07-09,50.30,50.93,50.01,50.93,8425600,50.93
2014-07-08,50.61,50.77,50.01,50.18,13072000,50.18
2014-07-07,50.93,50.98,50.61,50.74,7219300,50.74
2014-07-03,50.96,51.08,50.62,50.94,4612000,50.94
2014-07-02,50.51,50.80,50.50,50.55,9345300,50.55
2014-07-01,50.19,50.67,50.07,50.50,8805200,50.50
2014-06-30,50.19,50.19,49.80,50.06,10604100,50.06
2014-06-27,49.58,50.18,49.43,50.08,11044100,50.08
2014-06-26,49.50,49.67,49.03,49.47,8076200,49.47
2014-06-25,48.80,49.50,48.67,49.32,8941700,49.32
2014-06-24,49.39,49.49,48.76,48.85,11606400,48.85
2014-06-23,49.47,49.66,48.90,49.39,9423200,49.39
2014-06-20,49.74,49.75,48.95,49.34,18571600,49.34
2014-06-19,49.70,49.80,49.50,49.60,11921700,49.60
2014-06-18,49.19,49.74,48.86,49.66,9222700,49.66
2014-06-17,48.90,49.22,48.78,49.06,8633700,49.06
2014-06-16,48.92,49.17,48.74,49.00,7707800,49.00
2014-06-13,48.78,49.27,48.61,49.04,9072000,49.04
2014-06-12,48.87,49.12,48.50,48.56,13596500,48.56
2014-06-11,48.30,48.90,48.14,48.83,15313700,48.83
2014-06-10,48.65,48.81,48.17,48.25,35990300,48.25
2014-06-09,49.11,49.73,48.50,49.58,22165100,49.58
2014-06-06,50.88,50.88,49.50,49.70,21416200,49.70
2014-06-05,50.66,50.66,50.08,50.58,12025800,50.58
2014-06-04,50.39,50.75,49.92,50.45,6620900,50.45
2014-06-03,50.45,50.92,50.27,50.42,8618300,50.42
2014-06-02,50.68,50.94,50.33,50.49,7658400,50.49
2014-05-30,50.34,50.79,49.81,50.73,15424300,50.73
2014-05-29,50.64,50.79,49.96,50.14,16760800,50.14
2014-05-28,51.74,51.79,50.30,50.39,18819100,50.39
2014-05-27,52.31,52.32,51.70,51.77,10333600,51.77
2014-05-23,51.71,52.04,51.51,52.02,7123800,52.02
2014-05-22,51.99,52.06,51.19,51.50,12673800,51.50
2014-05-21,50.86,51.88,50.30,51.88,17418700,51.88
2014-05-20,52.19,52.22,51.64,51.96,6336500,51.96
2014-05-19,51.75,52.46,51.64,52.33,8168500,52.33
2014-05-16,51.65,52.48,50.98,51.95,18487100,51.95
2014-05-15,51.20,51.47,50.65,51.36,12553200,51.36
2014-05-14,51.79,52.08,51.59,51.65,11144200,51.65
2014-05-13,51.41,51.77,51.26,51.58,12640600,51.58
2014-05-12,50.92,51.38,50.71,51.33,12768700,51.33
2014-05-09,50.50,50.87,50.31,50.54,14188600,50.54
2014-05-08,50.63,51.21,50.02,50.26,13043200,50.26
2014-05-07,50.82,51.04,49.77,50.57,19840100,50.57
2014-05-06,52.07,52.07,50.89,50.95,14641700,50.95
2014-05-05,51.80,52.35,51.57,52.00,10896600,52.00
2014-05-02,51.73,52.53,51.70,52.01,12210600,52.01
2014-05-01,52.02,52.75,51.67,51.69,12793500,51.69
2014-04-30,51.95,52.40,50.88,51.83,32515900,51.83
2014-04-29,53.91,54.66,53.39,54.54,13908800,54.54
